currentTime,Guru,lista
1357267528,1750,250;250;250;500;500;1000;1000;2500;5000;5000;5000;10000;25000;25000
1357354297,1000,250;250;250;500;500;1000;1000;1000;2500;5000;5000;5000;5000;10000;25000
1357440916,500,250;250;250;250;250;250;500;500;500;1000;1000;2500;5000;5000;5000;5000;25000
1357454038,500,250;250;250;500;500;1000;5000;25000
1357698202,500,250;250;250;250;250;250;250;500;500;500;500;500;500;1000;1000;1000;1000;2500;2500;10000;25000;25000
1357786559,500,250;250;250;250;250;250;250;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;2500;10000;25000;25000
1357872841,1000,250;250;250;250;500;500;1000;1000;1000;1000;1000;2500;2500;25000;25000
1357955716,1000,250;250;250;250;500;500;500;1000;1000;1000;1000;1000;2500;2500;2500;25000;25000
1358045926,1000,250;250;250;250;500;500;1000;1000;1000;1000;2500;2500;2500;25000
1358132349,1000,250;250;250;250;250;500;500;1000;1000;1000;2500;2500;2500;2500;25000
1358218235,500,250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500
1358304754,500,250;250;250;250;250;500;500;500;1000;1000;1000;1000;2500;2500;25000
1358391190,500,250;250;250;250;250;250;250;500;500;500;1000;1000;1000;1000;2500;2500;5000;25000
1358477027,500,250;250;250;250;250;250;250;250;500;500;500;1000;2500;2500;5000;5000;5000;25000
1358560749,750,250;250;250;250;250;250;250;500;500;1000;1000;2500;2500;2500;5000;5000;5000;5000
1358650450,1000,250;250;250;250;250;500;1000;1000;1000;2500;2500;5000;5000;5000
1358737084,1000,250;250;250;250;1000;1000;1000;2500;5000
1358819857,750,250;250;250;250;250;500;1000;1000;1000;2500;2500;5000
1358909449,500,250;250;250;250;250;500;500;500;500;500;1000;1000;2500
1358996298,500,250;250;500;500;500;500;1000;1000
1359082291,750,250;500;500;500;500;500;1000;1000;1000;1000;1000;2500
1359168774,500,250;250;500;500;500;500;500;500;1000;1000;1000;2500;25000
1359253565,500,250;250;250;250;250;500;500;500;500;500;1000;1000;2500;5000;25000
1359335456,500,250;250;250;500;500;500;500;1000;2500;5000;25000
1359428044,500,250;250;250;250;250;500;500;500;500;500;500;2500;5000;5000;25000
1359514667,500,250;250;250;500;500;500;500;1000;2500;2500;2500;5000;25000
1359600076,1000,250;250;250;500;500;1000;1000;2500;2500;2500;5000;25000
1359684896,500,250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500;2500;25000
1359773276,500,250;250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500;25000;25000
1359859782,500,250;250;250;250;250;250;250;250;250;500;500;500;1000;1000;2500;2500;10000;25000;25000;25000
1359946416,500,250;250;250;250;250;250;250;500;500;500;1000;2500;2500;10000;25000;25000
1360030468,500,250;250;250;250;250;250;250;500;500;500;1000;2500;2500;10000;25000;25000
1360118384,250,250;250;250;250;250;250;250;250;250;500;500;500;500;1000;2500;25000;25000
1360203412,500,250;250;250;250;250;250;500;500;500;1000;1000;1000;10000;25000;25000
1360292326,500,250;250;250;250;250;500;500;1000;1000;1000;10000;25000;25000
1360378669,750,250;500;500;500;500;500;500;1000;1000;2500;10000;25000;25000;25000
1360464955,500,250;250;500;500;500;500;500;2500;5000;10000;10000;25000;25000
1360551490,500,250;250;250;250;500;500;500;500;500;2500;2500;5000;10000;10000;25000;25000
1360636949,1500,250;250;250;500;500;500;500;2500;2500;5000;10000;10000;25000;25000
1360723953,2500,250;250;250;500;1000;1000;2500;2500;2500;5000;5000;10000;10000;10000
1360809621,1000,250;250;250;500;1000;1000;1000;1000;2500;2500;5000;5000;10000;25000
1360896474,1000,250;250;250;500;500;1000;1000;1000;1000;2500;5000;5000;10000;25000
1360981122,750,250;250;500;500;500;1000;1000;5000;5000;25000
1361058896,500,250;250;250;250;500;500;500;500;1000;5000;5000
1361156387,500,250;250;250;500;500;500;1000;2500;5000
1361239728,500,250;250;250;500;500;500;500;500;1000;2500;5000;5000;10000
1361328713,500,250;250;250;250;250;500;500;500;500;1000;2500;2500;5000;10000;25000
1361415041,750,250;250;250;500;500;1000;2500;10000;25000;25000
1361500726,750,250;250;250;250;250;250;250;250;500;1000;1000;2500;2500;2500;5000;10000;25000;25000
1361583720,1000,250;250;250;250;250;1000;1000;1000;2500;2500;5000;5000;10000;25000
1361674573,1000,250;250;250;250;250;250;500;1000;1000;1000;2500;2500;5000;5000;10000;25000
1361760697,1000,250;250;500;1000;1000;1000;2500;5000;5000;5000;25000
1361847209,500,250;250;250;250;500;500;1000;1000;5000;5000;25000
1361933875,750,250;250;500;500;500;1000;5000;5000;25000;25000
1362019533,750,250;250;250;500;500;1000;1000;5000;10000;25000
1362092043,5000,250;500;500;1000;5000;5000;10000;25000;25000
