currentTime,Guru,lista
1357267528,2625,250;5000
1357354297,2625,250;5000
1357440916,5000,5000
1357454038,0,NULL
1357698202,1500,250;250;500;2500;2500;5000
1357786559,2500,250;500;500;2500;2500;2500;5000
1357872841,500,250;250;250;500;500;2500;2500;2500;5000
1357955716,500,250;250;500;2500;5000
1358045926,375,250;250;500;2500
1358132349,250,250;250;2500
1358218235,1000,250;1000;2500
1358304754,250,250;250;250;1000
1358391190,375,250;250;250;250;500;500;1000;1000
1358477027,500,250;250;250;500;500;500;1000
1358560749,250,250;250;250;500;500
1358650450,500,250;250;500;500;500;500;1000
1358737084,500,250;250;500;500;1000
1358819857,500,250;500;500;500;1000
1358909449,250,250;250;250;250;250;500;500;1000
1358996298,250,250;250;250;250;250;250;500
1359082291,250,250;250;250;250;250;250;500;1000;1000
1359168774,250,250;250;250;250;250;500;500;1000;1000
1359253565,250,250;250;250;250;500;500;1000
1359335456,500,250;250;250;500;500;1000;2500
1359428044,250,250;250;250;500;2500
1359514667,250,250;250;2500
1359600076,250,250;250;250;250;500
1359684896,250,250;250;250;250;500;5000
1359773276,750,250;250;250;500;1000;2500;5000;10000
1359859782,3750,1000;2500;2500;5000;5000;10000
1359946416,1750,250;500;1000;2500;5000;10000
1360030468,500,250;250;250;500;1000;2500;5000
1360118384,250,250;250;250;250;250;250;250;500;5000
1360203412,250,250;250;250;250;250;250;250;250;500
1360292326,250,250;250;250;250;250;500
1360378669,375,250;250;250;500;5000;5000
1360464955,1000,250;250;1000;5000;5000
1360551490,750,250;250;500;1000;5000;5000
1360636949,1000,250;250;500;1000;2500;5000;5000
1360723953,750,250;250;500;500;1000;2500;5000;5000
1360809621,500,250;500;500;2500;5000
1360896474,500,250;250;500;500;1000;2500;5000
1360981122,750,250;250;500;500;1000;1000;2500;25000
1361058896,750,250;250;500;1000;2500;25000
1361156387,1000,250;250;500;1000;2500;2500;25000
1361239728,500,250;250;250;250;500;1000;2500;2500;25000
1361328713,375,250;250;250;250;250;250;500;2500;2500;2500;5000;25000
1361415041,250,250;250;250;250;250;2500;5000;25000
1361500726,250,250;250;250;250;500;2500;5000
1361583720,500,250;250;250;500;500;500;500;2500;5000
1361674573,500,250;250;500;500;500;500;2500;2500;5000
1361760697,1000,250;500;500;500;500;1000;1000;1000;2500;2500;5000
1361847209,500,250;250;250;500;500;500;500;500;500;1000;1000;1000;2500;2500;25000
1361933875,500,250;250;250;250;250;500;500;500;500;1000;1000;1000;1000;2500;2500;25000
1362019533,500,250;250;250;250;500;500;1000;2500;2500
1362092043,500,250;250;500;500;1000;1000;2500
