currentTime,Guru,lista
1357267528,2500,2500
1357354297,2500,250;500;2500;2500;10000
1357440916,1500,250;250;500;2500;2500;10000
1357454038,375,250;250;500;10000
1357698202,250,250;250;5000
1357786559,500,250;500;500;5000
1357872841,500,250;500;500
1357955716,500,250;500;500
1358045926,250,250
1358132349,1000,250;1000;25000
1358218235,13000,1000;25000
1358304754,1000,250;1000;25000
1358391190,250,250
1358477027,250,250;250;2500
1358560749,250,250;250;250;2500
1358650450,250,250;250;250;250;2500
1358737084,250,250;250;250
1358819857,250,250;250;250
1358909449,250,250;250;500
1358996298,250,250;250;500
1359082291,250,250;250;250;500;1000
1359168774,500,250;250;500;500;500;500;1000
1359253565,500,250;500;500;500;500;1000;10000
1359335456,500,250;250;500;500;500;10000
1359428044,500,250;250;500;500;500;500;10000
1359514667,1000,250;500;1000;2500;10000
1359600076,750,250;500;1000;2500
1359684896,1000,250;500;1000;1000;2500;5000
1359773276,1750,250;500;1000;2500;2500;5000
1359859782,2500,500;2500;2500;5000
1359946416,2500,2500;2500
1360030468,250,250;250;2500
1360118384,250,250;250;500
1360203412,500,500;500;10000
1360292326,2500,250;500;2500;2500;10000;25000
1360378669,2500,250;250;500;500;2500;2500;2500;10000;25000
1360464955,500,250;250;250;500;500;2500;2500;2500;25000
1360551490,500,250;250;250;250;500;500;2500;2500;25000
1360636949,250,250;250;250;250;250;250;250;500;500;2500;25000
1360723953,250,250;250;250;250;250;250;500
1360809621,250,250;250;250;250
1360896474,250,250;250;25000
1360981122,250,250;250;25000
1361058896,250,250;250
1361156387,250,250;250;250;25000
1361239728,250,250;250;250;250;500
1361328713,250,250;250;250;250;500;500
1361415041,500,250;250;500;500;1000
1361500726,375,250;250;500;1000
1361583720,1000,250;250;250;250;1000;1000;1000;1000;2500
1361674573,1000,250;250;250;1000;1000;1000;2500;2500
1361760697,1000,250;250;250;1000;1000;1000;2500;2500
1361847209,1000,250;250;1000;1000;2500
1361933875,0,NULL
1362019533,250,250;250;500
1362092043,375,250;250;500;1000
