currentTime,Guru,lista
1357267528,250,250;250;250;250;250;1000;1000;2500
1357354297,250,250;250;250;250;250;250;250;250;250;500;1000;1000;2500
1357440916,250,250;250;250;250;250;250;250;250;500;2500
1357454038,250,250;250;250;250;250;250;250;500;2500
1357698202,250,250;250;250;250;250;250;250;250;250;250;250;250;250
1357786559,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000
1357872841,250,250;250;250;250;250;250;250;250;250;250;500;500;1000
1357955716,250,250;250;250;250;250;250;250;250;250;250;250;500;500;1000;1000
1358045926,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;1000
1358132349,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;1000;2500
1358218235,250,250;250;250;250;250;250;250;250;250;250;250;250;500;500;500;500;1000;2500
1358304754,250,250;250;250;250;250;250;250;250;250;500;500;500;2500
1358391190,250,250;250;250;250;250;250;250;250;500;500;1000
1358477027,250,250;250;250;250;250;250;250;250;250;1000;1000
1358560749,250,250;250;250;250;250;250;250;250;250
1358650450,250,250;250;250;250;250;250;250;250;250
1358737084,250,250;250;250;250;250;250;250;250;250;250
1358819857,250,250;250;250;250;250;250;250;250;250;500;1000
1358909449,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;2500
1358996298,250,250;250;250;250;250;250;250;250;250;250;500;500;500;1000;2500
1359082291,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;500;1000;2500;25000
1359168774,250,250;250;250;250;250;250;250;250;250;250;250;500;1000;2500;25000
1359253565,250,250;250;250;250;250;250;250;250;250;250;250;250;1000;2500;25000
1359335456,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;2500;25000
1359428044,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000;2500
1359514667,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500
1359600076,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500
1359684896,250,250;250;250;250;250;250;250;250;250;500;1000
1359773276,250,250;250;250;250;250;250;250;250;250;500;500;1000;25000
1359859782,250,250;250;250;250;250;250;250;500;500;1000;1000;25000
1359946416,250,250;250;250;250;250;250;250;250;250;500;500;500;1000;25000
1360030468,250,250;250;250;250;250;250;250;250;250;250;500;500;1000;25000
1360118384,250,250;250;250;250;250;250;250;250;250;500;500
1360203412,250,250;250;250;250;250;250;250;250;250;500;500
1360292326,250,250;250;250;250;250;250;250;250;250;250;250
1360378669,250,250;250;250;250;250;250;250;250;250;500
1360464955,250,250;250;250;250;250;250;250;250;250
1360551490,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250
1360636949,250,250;250;250;250;250;250;250;250
1360723953,250,250;250;250;250;250;250;250;250
1360809621,250,250;250;250;250;250;250
1360896474,250,250;250;250;250;250;250;250;250;250;250
1360981122,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500
1361058896,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500
1361156387,250,250;250;250;250;250;250;250;250;250;250;1000
1361239728,250,250;250;250;250;250;250;250;250;250;250;500;1000
1361328713,250,250;250;250;250;250;250;500;1000
1361415041,250,250;250;250;250;250;250;250;250;500;1000;1000
1361500726,250,250;250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000
1361583720,250,250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000;1000;1000;1000;5000
1361674573,375,250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000;1000;1000;1000;5000
1361760697,750,250;250;250;250;250;250;500;1000;1000;1000;1000;1000;1000;5000
1361847209,625,250;250;250;250;1000;1000;1000;5000
1361933875,250,250;250;250
1362019533,250,250;250;250;500
1362092043,250,250;250;250;250;250;250;250;500;2500
