timestamp,Guru
1357264800,1
1357351200,5
1357437600,6
1357437600,4
1357696800,3
1357783200,4
1357869600,3
1357869600,3
1358042400,1
1358128800,3
1358215200,2
1358301600,3
1358388000,1
1358474400,3
1358474400,4
1358647200,5
1358733600,3
1358733600,3
1358906400,3
1358992800,3
1359079200,5
1359165600,7
1359252000,7
1359252000,6
1359424800,7
1359511200,5
1359597600,4
1359684000,6
1359770400,6
1359856800,4
1359943200,2
1360029600,3
1360116000,3
1360202400,3
1360288800,6
1360375200,9
1360461600,9
1360548000,9
1360634400,11
1360720800,7
1360807200,4
1360893600,3
1360980000,3
1360980000,2
1361070000,4
1361156400,5
1361242800,6
1361329200,5
1361415600,4
1361502000,9
1361588400,8
1361674800,8
1361761200,5
1361847600,0
1361934000,3
1362020400,4
