timestamp,Guru
1357264800,2
1357351200,2
1357437600,1
1357437600,0
1357696800,6
1357783200,7
1357869600,9
1357869600,5
1358042400,4
1358128800,3
1358215200,3
1358301600,4
1358388000,8
1358474400,7
1358474400,5
1358647200,7
1358733600,5
1358733600,5
1358906400,8
1358992800,7
1359079200,9
1359165600,9
1359252000,7
1359252000,7
1359424800,5
1359511200,3
1359597600,5
1359684000,6
1359770400,8
1359856800,6
1359943200,6
1360029600,7
1360116000,9
1360202400,9
1360288800,6
1360375200,6
1360461600,5
1360548000,6
1360634400,7
1360720800,8
1360807200,5
1360893600,7
1360980000,8
1360980000,6
1361070000,7
1361156400,9
1361242800,12
1361329200,8
1361415600,7
1361502000,9
1361588400,9
1361674800,11
1361761200,15
1361847600,16
1361934000,9
1362020400,7
