timestamp,Guru
1357264800,59
1357351200,95
1357437600,84
1357437600,61
1357696800,82
1357783200,90
1357869600,90
1357869600,94
1358042400,82
1358128800,83
1358215200,88
1358301600,84
1358388000,94
1358474400,106
1358474400,105
1358647200,74
1358733600,77
1358733600,87
1358906400,96
1358992800,95
1359079200,82
1359165600,78
1359252000,62
1359252000,69
1359424800,88
1359511200,83
1359597600,89
1359684000,92
1359770400,96
1359856800,74
1359943200,83
1360029600,93
1360116000,98
1360202400,96
1360288800,93
1360375200,84
1360461600,71
1360548000,70
1360634400,67
1360720800,73
1360807200,76
1360893600,66
1360980000,66
1360980000,60
1361070000,68
1361156400,89
1361242800,95
1361329200,99
1361415600,85
1361502000,82
1361588400,76
1361674800,93
1361761200,109
1361847600,109
1361934000,81
1362020400,79
