timestamp,Guru
1357264800,8
1357351200,13
1357437600,10
1357437600,9
1357696800,13
1357783200,17
1357869600,13
1357869600,15
1358042400,16
1358128800,18
1358215200,18
1358301600,13
1358388000,11
1358474400,11
1358474400,9
1358647200,9
1358733600,10
1358733600,11
1358906400,20
1358992800,15
1359079200,19
1359165600,15
1359252000,15
1359252000,20
1359424800,20
1359511200,22
1359597600,16
1359684000,11
1359770400,13
1359856800,12
1359943200,14
1360029600,14
1360116000,11
1360202400,11
1360288800,11
1360375200,10
1360461600,9
1360548000,14
1360634400,8
1360720800,8
1360807200,6
1360893600,10
1360980000,14
1360980000,14
1361070000,11
1361156400,12
1361242800,8
1361329200,11
1361415600,15
1361502000,21
1361588400,18
1361674800,14
1361761200,8
1361847600,3
1361934000,4
1362020400,9
