timeStamp,Elance
1351133492,211
1351219877,593
1351306262,477
1351392645,347
1351479130,400
1351565448,592
1351651822,608
1351738240,608
1351824659,556
1351911048,517
1351997395,416
1352083785,417
1352170285,587
1352256576,583
1352343088,626
1352429978,641
1352515839,561
1352602792,411
1352688553,425
1352774964,588
1352861433,588
1352948355,619
1353034754,598
1353120591,540
1353207541,418
1353293404,387
1353380371,606
1353466760,652
1353552555,611
1353639599,503
1353725390,466
1353812337,351
1353898784,384
1353985110,611
1354071599,616
1354157922,660
1354244374,595
1354330781,498
1354417193,387
1354503567,419
1354589905,627
1354676333,651
1354762683,645
1354849120,612
1354935517,549
1355021861,401
1355108265,396
1355194699,634
1355281098,684
1355367548,647
1355453949,586
1355540298,537
1355626709,339
1355713086,369
1355799444,574
1355885974,586
1355972319,597
1356058744,496
1356145073,429
1356231442,355
1356317864,370
1356404236,399
1356490661,295
1356577048,449
1356663474,455
1356749834,432
1356836276,400
1356922643,347
1357008994,361
1357095413,393
1357181860,564
1357268287,627
1357354597,569
1357440981,404
1357527594,387
1357565766,296
1357872999,173
1357959397,568
1358045733,431
1358132256,454
1358218552,658
1358304989,654
1358391454,594
1358477840,625
1358564155,569
1358650585,422
1358736964,409
1358823335,680
1358909781,704
1358996104,635
1359082521,601
1359168958,582
1359255316,466
1359341782,459
1359428220,622
1359514560,715
1359600963,728
1359687347,677
1359773771,557
1359860195,401
1359946477,448
1360032959,674
1360119288,675
1360205730,678
1360292194,703
1360378504,625
1360464885,426
1360551281,457
1360637678,660
1360724175,764
1360810583,704
1360896896,613
1360983338,569
1361069703,487
1361156033,485
1361242518,691
1361328832,732
1361415295,773
1361501700,676
1361588189,580
1361674429,437
1361760928,432
1361847303,712
1361933625,726
1362020018,737
1362095789,653
