timeStamp,Elance
1351133492,38
1351219877,118
1351306262,137
1351392645,97
1351479130,89
1351565448,131
1351651822,137
1351738240,128
1351824659,117
1351911048,129
1351997395,95
1352083785,84
1352170285,116
1352256576,164
1352343088,144
1352429978,127
1352515839,115
1352602792,79
1352688553,99
1352774964,110
1352861433,132
1352948355,118
1353034754,123
1353120591,125
1353207541,105
1353293404,71
1353380371,130
1353466760,94
1353552555,128
1353639599,96
1353725390,86
1353812337,84
1353898784,100
1353985110,132
1354071599,128
1354157922,143
1354244374,114
1354330781,93
1354417193,83
1354503567,78
1354589905,115
1354676333,115
1354762683,126
1354849120,121
1354935517,84
1355021861,67
1355108265,75
1355194699,135
1355281098,137
1355367548,128
1355453949,129
1355540298,118
1355626709,90
1355713086,77
1355799444,136
1355885974,111
1355972319,101
1356058744,90
1356145073,99
1356231442,96
1356317864,103
1356404236,91
1356490661,67
1356577048,104
1356663474,102
1356749834,93
1356836276,97
1356922643,79
1357008994,87
1357095413,93
1357181860,124
1357268287,134
1357354597,111
1357440981,98
1357527594,96
1357565766,66
1357872999,34
1357959397,129
1358045733,83
1358132256,93
1358218552,156
1358304989,151
1358391454,130
1358477840,158
1358564155,139
1358650585,95
1358736964,106
1358823335,140
1358909781,144
1358996104,126
1359082521,136
1359168958,133
1359255316,88
1359341782,88
1359428220,135
1359514560,138
1359600963,146
1359687347,145
1359773771,125
1359860195,100
1359946477,97
1360032959,121
1360119288,136
1360205730,151
1360292194,141
1360378504,130
1360464885,111
1360551281,146
1360637678,144
1360724175,156
1360810583,140
1360896896,128
1360983338,98
1361069703,104
1361156033,105
1361242518,152
1361328832,150
1361415295,140
1361501700,148
1361588189,129
1361674429,103
1361760928,96
1361847303,140
1361933625,148
1362020018,164
1362095789,124
