timeStamp,Elance
1351133492,4
1351219877,14
1351306262,15
1351392645,10
1351479130,15
1351565448,18
1351651822,17
1351738240,18
1351824659,15
1351911048,18
1351997395,13
1352083785,20
1352170285,20
1352256576,22
1352343088,19
1352429978,16
1352515839,17
1352602792,17
1352688553,10
1352774964,20
1352861433,25
1352948355,27
1353034754,21
1353120591,8
1353207541,16
1353293404,14
1353380371,18
1353466760,24
1353552555,20
1353639599,18
1353725390,19
1353812337,13
1353898784,12
1353985110,16
1354071599,22
1354157922,28
1354244374,28
1354330781,19
1354417193,20
1354503567,18
1354589905,28
1354676333,18
1354762683,21
1354849120,22
1354935517,17
1355021861,19
1355108265,17
1355194699,24
1355281098,30
1355367548,17
1355453949,12
1355540298,15
1355626709,16
1355713086,15
1355799444,13
1355885974,21
1355972319,21
1356058744,24
1356145073,21
1356231442,10
1356317864,16
1356404236,12
1356490661,11
1356577048,17
1356663474,12
1356749834,12
1356836276,13
1356922643,12
1357008994,13
1357095413,14
1357181860,23
1357268287,14
1357354597,15
1357440981,14
1357527594,19
1357565766,8
1357872999,3
1357959397,20
1358045733,11
1358132256,15
1358218552,25
1358304989,29
1358391454,25
1358477840,23
1358564155,16
1358650585,10
1358736964,18
1358823335,24
1358909781,15
1358996104,13
1359082521,23
1359168958,29
1359255316,15
1359341782,18
1359428220,19
1359514560,19
1359600963,21
1359687347,27
1359773771,24
1359860195,21
1359946477,15
1360032959,20
1360119288,18
1360205730,21
1360292194,16
1360378504,25
1360464885,21
1360551281,24
1360637678,19
1360724175,29
1360810583,20
1360896896,13
1360983338,23
1361069703,17
1361156033,18
1361242518,27
1361328832,24
1361415295,13
1361501700,21
1361588189,27
1361674429,22
1361760928,27
1361847303,32
1361933625,27
1362020018,31
1362095789,31
