timeStamp,Guru
1357267528,8
1357354297,13
1357440916,10
1357454038,9
1357698202,13
1357786559,17
1357872841,13
1357955716,15
1358045926,16
1358132349,18
1358218235,18
1358304754,13
1358391190,11
1358477027,11
1358560749,9
1358650450,9
1358737084,10
1358819857,11
1358909449,20
1358996298,15
1359082291,19
1359168774,15
1359253565,15
1359335456,20
1359428044,20
1359514667,22
1359600076,16
1359684896,11
1359773276,13
1359859782,12
1359946416,14
1360030468,14
1360118384,11
1360203412,11
1360292326,11
1360378669,10
1360464955,9
1360551490,14
1360636949,8
1360723953,8
1360809621,6
1360896474,10
1360981122,14
1361058896,14
1361156387,11
1361239728,12
1361328713,8
1361415041,11
1361500726,15
1361583720,21
1361674573,18
1361760697,14
1361847209,8
1361933875,3
1362019533,4
1362092043,9
