timeStamp,Guru
1357267528,38
1357354297,55
1357440916,59
1357454038,44
1357698202,69
1357786559,52
1357872841,56
1357955716,51
1358045926,47
1358132349,53
1358218235,59
1358304754,52
1358391190,48
1358477027,49
1358560749,41
1358650450,31
1358737084,42
1358819857,40
1358909449,52
1358996298,50
1359082291,52
1359168774,53
1359253565,48
1359335456,41
1359428044,45
1359514667,54
1359600076,43
1359684896,44
1359773276,36
1359859782,39
1359946416,49
1360030468,60
1360118384,66
1360203412,60
1360292326,59
1360378669,47
1360464955,36
1360551490,46
1360636949,49
1360723953,57
1360809621,50
1360896474,45
1360981122,59
1361058896,46
1361156387,45
1361239728,53
1361328713,67
1361415041,65
1361500726,67
1361583720,53
1361674573,48
1361760697,46
1361847209,54
1361933875,56
1362019533,60
1362092043,56
