timeStamp,Guru
1357267528,3
1357354297,4
1357440916,1
1357454038,1
1357698202,1
1357786559,2
1357872841,3
1357955716,4
1358045926,3
1358132349,3
1358218235,5
1358304754,5
1358391190,4
1358477027,4
1358560749,1
1358650450,1
1358737084,0
1358819857,2
1358909449,4
1358996298,5
1359082291,4
1359168774,4
1359253565,2
1359335456,2
1359428044,2
1359514667,3
1359600076,2
1359684896,1
1359773276,1
1359859782,1
1359946416,1
1360030468,2
1360118384,2
1360203412,4
1360292326,3
1360378669,1
1360464955,1
1360551490,3
1360636949,1
1360723953,1
1360809621,2
1360896474,3
1360981122,3
1361058896,2
1361156387,0
1361239728,1
1361328713,1
1361415041,3
1361500726,4
1361583720,4
1361674573,4
1361760697,2
1361847209,4
1361933875,4
1362019533,3
1362092043,2
