timeStamp,Guru
1357267528,1
1357354297,5
1357440916,6
1357454038,4
1357698202,3
1357786559,4
1357872841,3
1357955716,3
1358045926,1
1358132349,3
1358218235,2
1358304754,3
1358391190,1
1358477027,3
1358560749,4
1358650450,5
1358737084,3
1358819857,3
1358909449,3
1358996298,3
1359082291,5
1359168774,7
1359253565,7
1359335456,6
1359428044,7
1359514667,5
1359600076,4
1359684896,6
1359773276,6
1359859782,4
1359946416,2
1360030468,3
1360118384,3
1360203412,3
1360292326,6
1360378669,9
1360464955,9
1360551490,9
1360636949,11
1360723953,7
1360809621,4
1360896474,3
1360981122,3
1361058896,2
1361156387,4
1361239728,5
1361328713,6
1361415041,5
1361500726,4
1361583720,9
1361674573,8
1361760697,8
1361847209,5
1361933875,0
1362019533,3
1362092043,4
