timeStamp,Guru
1357267528,166
1357354297,224
1357440916,214
1357454038,160
1357698202,217
1357786559,212
1357872841,217
1357955716,207
1358045926,209
1358132349,226
1358218235,253
1358304754,223
1358391190,226
1358477027,210
1358560749,221
1358650450,196
1358737084,211
1358819857,218
1358909449,239
1358996298,237
1359082291,226
1359168774,213
1359253565,190
1359335456,205
1359428044,246
1359514667,243
1359600076,236
1359684896,229
1359773276,237
1359859782,225
1359946416,218
1360030468,237
1360118384,226
1360203412,220
1360292326,221
1360378669,213
1360464955,207
1360551490,258
1360636949,240
1360723953,263
1360809621,238
1360896474,229
1360981122,221
1361058896,192
1361156387,213
1361239728,238
1361328713,247
1361415041,219
1361500726,232
1361583720,217
1361674573,194
1361760697,198
1361847209,236
1361933875,232
1362019533,217
1362092043,187
