timeStamp,Guru
1357267528,14
1357354297,15
1357440916,17
1357454038,8
1357698202,22
1357786559,23
1357872841,15
1357955716,17
1358045926,14
1358132349,15
1358218235,13
1358304754,15
1358391190,18
1358477027,18
1358560749,18
1358650450,14
1358737084,9
1358819857,12
1358909449,13
1358996298,8
1359082291,12
1359168774,13
1359253565,15
1359335456,11
1359428044,15
1359514667,13
1359600076,12
1359684896,15
1359773276,16
1359859782,20
1359946416,16
1360030468,16
1360118384,17
1360203412,15
1360292326,13
1360378669,14
1360464955,13
1360551490,16
1360636949,14
1360723953,14
1360809621,14
1360896474,14
1360981122,10
1361058896,11
1361156387,9
1361239728,13
1361328713,15
1361415041,10
1361500726,18
1361583720,14
1361674573,16
1361760697,11
1361847209,11
1361933875,10
1362019533,10
1362092043,9
