timeStamp,Guru
1357267528,59
1357354297,95
1357440916,84
1357454038,61
1357698202,82
1357786559,90
1357872841,90
1357955716,94
1358045926,82
1358132349,83
1358218235,88
1358304754,84
1358391190,94
1358477027,106
1358560749,105
1358650450,74
1358737084,77
1358819857,87
1358909449,96
1358996298,95
1359082291,82
1359168774,78
1359253565,62
1359335456,69
1359428044,88
1359514667,83
1359600076,89
1359684896,92
1359773276,96
1359859782,74
1359946416,83
1360030468,93
1360118384,98
1360203412,96
1360292326,93
1360378669,84
1360464955,71
1360551490,70
1360636949,67
1360723953,73
1360809621,76
1360896474,66
1360981122,66
1361058896,60
1361156387,68
1361239728,89
1361328713,95
1361415041,99
1361500726,85
1361583720,82
1361674573,76
1361760697,93
1361847209,109
1361933875,109
1362019533,81
1362092043,79
