timestamp,Guru
1357178400,76461
1357264800,76461
1357351200,76493
1357437600,76549
1357524000,76549
1357610400,76679
1357696800,76679
1357783200,76753
1357869600,76825
1357956000,76855
1358042400,76855
1358128800,76926
1358215200,77011
1358301600,77011
1358388000,77087
1358474400,77137
1358560800,77137
1358647200,77192
1358733600,77280
1358820000,77280
1358906400,77280
1358992800,77357
1359079200,77407
1359165600,77407
1359252000,77459
1359338400,77523
1359424800,77523
1359511200,77615
1359597600,77665
1359684000,77665
1359770400,77714
1359856800,77714
1359943200,77793
1360029600,77793
1360116000,77909
1360202400,77960
1360288800,77960
1360375200,78020
1360461600,78046
1360548000,78046
1360634400,78113
1360720800,78113
1360807200,78205
1360893600,78260
1360980000,78260
1361070000,78335
1361156400,78385
1361242800,78442
1361329200,78498
1361415600,78498
1361502000,78577
1361588400,78577
1361674800,78633
1361761200,78697
1361847600,78779
1361934000,78841
1362020400,78842
