timestamp,Guru
1357178400,158122
1357264800,158122
1357351200,158172
1357437600,158245
1357524000,158245
1357610400,158408
1357696800,158408
1357783200,158495
1357869600,158580
1357956000,158635
1358042400,158635
1358128800,158724
1358215200,158786
1358301600,158786
1358388000,158919
1358474400,158994
1358560800,158994
1358647200,159120
1358733600,159210
1358820000,159210
1358906400,159210
1358992800,159374
1359079200,159435
1359165600,159435
1359252000,159499
1359338400,159579
1359424800,159579
1359511200,159739
1359597600,159839
1359684000,159839
1359770400,159949
1359856800,159949
1359943200,160112
1360029600,160112
1360116000,160279
1360202400,160357
1360288800,160357
1360375200,160454
1360461600,160502
1360548000,160502
1360634400,160566
1360720800,160566
1360807200,160690
1360893600,160751
1360980000,160751
1361070000,160833
1361156400,160914
1361242800,160973
1361329200,161051
1361415600,161051
1361502000,161174
1361588400,161174
1361674800,161259
1361761200,161326
1361847600,161417
1361934000,161529
1362020400,161546
