timestamp,Guru
1357178400,50677
1357264800,50677
1357351200,50670
1357437600,50683
1357524000,50683
1357610400,50684
1357696800,50684
1357783200,50688
1357869600,50699
1357956000,50696
1358042400,50696
1358128800,50709
1358215200,50735
1358301600,50735
1358388000,50764
1358474400,50777
1358560800,50777
1358647200,50781
1358733600,50806
1358820000,50806
1358906400,50806
1358992800,50850
1359079200,50852
1359165600,50852
1359252000,50869
1359338400,50883
1359424800,50883
1359511200,50888
1359597600,50895
1359684000,50895
1359770400,50923
1359856800,50923
1359943200,50945
1360029600,50945
1360116000,50969
1360202400,50985
1360288800,50985
1360375200,50978
1360461600,50984
1360548000,50984
1360634400,51002
1360720800,51002
1360807200,51010
1360893600,51021
1360980000,51021
1361070000,51044
1361156400,51061
1361242800,51070
1361329200,51074
1361415600,51074
1361502000,51095
1361588400,51095
1361674800,51099
1361761200,51113
1361847600,51120
1361934000,51127
1362020400,51112
