timestamp,Elance
1351044000,22341
1351130400,22382
1351130400,22451
1351216800,22461
1351303200,22526
1351303200,22546
1351389600,22568
1351389600,22568
1351476000,22212
1351476000,22260
1351562400,22275
1351648800,22340
1351648800,22359
1351735200,22431
1351735200,22474
1351821600,22514
1351821600,22548
1351908000,22574
1351908000,22603
1351994400,22622
1351994400,22622
1352080800,22364
1352167200,22415
1352167200,22430
1352253600,22493
1352253600,22512
1352340000,22566
1352340000,22593
1352426400,22627
1352426400,22663
1352512800,22690
1352512800,22713
1352599200,22736
1352685600,22736
1352685600,22480
1352772000,22534
1352772000,22548
1352858400,22594
1352858400,22620
1352944800,22653
1352944800,22693
1353031200,22721
1353031200,22751
1353117600,22775
1353204000,22815
1353204000,22815
1353290400,22815
1353290400,22583
1353376800,22613
1353376800,22654
1353463200,22677
1353463200,22710
1353549600,22738
1353549600,22779
1353636000,22814
1353722400,22862
1353722400,22878
1353808800,22921
1353808800,22921
1353895200,22702
1353895200,22725
1353981600,22761
1353981600,22810
1354068000,22858
1354068000,22882
1354154400,22930
1354240800,22994
1354240800,22995
1354327200,23040
1354327200,23075
1354413600,23098
1354413600,23098
1354500000,23043
1354586400,23109
1354586400,23125
1354672800,23192
1354672800,23189
1354759200,23222
1354759200,23248
1354845600,23259
1354845600,23291
1354932000,23298
1354932000,23319
1355018400,23333
1355018400,23333
1355104800,23114
1355191200,23178
1355191200,23200
1355277600,23266
1355277600,23316
1355364000,23333
1355364000,23375
1355450400,23428
1355450400,23463
1355536800,23509
1355623200,23565
1355623200,23565
1355709600,23373
1355709600,23398
1355796000,23441
1355796000,23479
1355882400,23525
1355882400,23565
1355968800,23618
1356055200,23672
1356055200,23679
1356141600,23725
1356141600,23752
1356228000,23771
1356228000,23771
1356314400,23622
1356314400,23624
1356400800,23637
1356400800,23659
1356487200,23671
1356573600,23688
1356573600,23712
1356660000,23720
1356660000,23736
1356746400,23752
1356746400,23769
1356832800,23777
1356919200,23777
1356919200,23604
1357005600,23677
1357005600,23688
1357092000,23748
1357092000,23809
1357178400,23846
1357178400,23896
1357264800,23952
1357264800,23990
1357351200,24039
1357437600,24104
1357437600,24104
1357524000,23491
1357783200,23754
1357869600,23794
1357956000,23854
1357956000,23874
1358042400,23929
1358042400,23929
1358128800,23710
1358128800,23744
1358215200,23776
1358215200,23797
1358301600,23826
1358388000,23870
1358388000,23891
1358474400,23964
1358474400,23985
1358560800,24067
1358560800,24106
1358647200,24125
1358647200,24125
1358733600,23939
1358733600,23981
1358820000,24041
1358906400,24122
1358906400,24158
1358992800,24226
1358992800,24262
1359079200,24311
1359079200,24336
1359165600,24371
1359252000,24427
1359252000,24427
1359338400,24172
1359338400,24212
1359424800,24258
1359424800,24297
1359511200,24356
1359511200,24399
1359597600,24454
1359684000,24545
1359684000,24559
1359770400,24679
1359770400,24739
1359856800,24773
1359943200,24773
1359943200,24537
1360029600,24637
1360029600,24662
1360116000,24738
1360116000,24799
1360202400,24865
1360202400,24902
1360288800,24960
1360375200,25053
1360375200,25069
1360461600,25133
1360461600,25133
1360548000,24908
1360548000,24955
1360634400,25000
1360634400,25060
1360807200,25305
1360807200,25373
1360893600,25421
1360893600,25453
1360980000,25502
1361070000,25569
1361070000,25569
1361156400,25569
1361156400,25424
1361242800,25468
1361242800,25536
1361329200,25593
1361329200,25653
1361415600,25734
1361502000,25842
1361502000,25947
1361588400,26007
1361674800,26083
1361674800,26083
1361761200,25893
1361761200,25943
1361847600,26009
1361847600,26060
1361934000,26137
1362020400,26230
1362020400,26250
