timestamp,Elance
1351044000,17508
1351130400,17535
1351130400,17576
1351216800,17589
1351303200,17630
1351303200,17658
1351389600,17670
1351389600,17670
1351476000,17375
1351476000,17409
1351562400,17428
1351648800,17475
1351648800,17493
1351735200,17524
1351735200,17563
1351821600,17583
1351821600,17611
1351908000,17624
1351908000,17647
1351994400,17670
1351994400,17670
1352080800,17456
1352167200,17496
1352167200,17512
1352253600,17559
1352253600,17568
1352340000,17620
1352340000,17656
1352426400,17666
1352426400,17703
1352512800,17725
1352512800,17747
1352599200,17762
1352685600,17762
1352685600,17527
1352772000,17557
1352772000,17564
1352858400,17598
1352858400,17630
1352944800,17646
1352944800,17669
1353031200,17695
1353031200,17707
1353117600,17733
1353204000,17758
1353204000,17758
1353290400,17758
1353290400,17569
1353376800,17596
1353376800,17621
1353463200,17638
1353463200,17671
1353549600,17679
1353549600,17690
1353636000,17714
1353722400,17748
1353722400,17745
1353808800,17763
1353808800,17763
1353895200,17565
1353895200,17578
1353981600,17593
1353981600,17611
1354068000,17631
1354068000,17646
1354154400,17678
1354240800,17711
1354240800,17716
1354327200,17750
1354327200,17773
1354413600,17787
1354413600,17787
1354500000,17662
1354586400,17706
1354586400,17719
1354672800,17760
1354672800,17761
1354759200,17778
1354759200,17785
1354845600,17797
1354845600,17811
1354932000,17821
1354932000,17836
1355018400,17849
1355018400,17849
1355104800,17581
1355191200,17624
1355191200,17623
1355277600,17678
1355277600,17712
1355364000,17731
1355364000,17762
1355450400,17787
1355450400,17811
1355536800,17823
1355623200,17859
1355623200,17859
1355709600,17646
1355709600,17673
1355796000,17702
1355796000,17718
1355882400,17747
1355882400,17770
1355968800,17797
1356055200,17839
1356055200,17841
1356141600,17879
1356141600,17890
1356228000,17898
1356228000,17898
1356314400,17732
1356314400,17745
1356400800,17756
1356400800,17770
1356487200,17777
1356573600,17792
1356573600,17799
1356660000,17804
1356660000,17817
1356746400,17840
1356746400,17848
1356832800,17854
1356919200,17854
1356919200,17737
1357005600,17790
1357005600,17785
1357092000,17810
1357092000,17836
1357178400,17861
1357178400,17894
1357264800,17920
1357264800,17944
1357351200,17971
1357437600,18005
1357437600,18005
1357524000,17579
1357783200,17757
1357869600,17782
1357956000,17823
1357956000,17814
1358042400,17839
1358042400,17839
1358128800,17653
1358128800,17675
1358215200,17697
1358215200,17717
1358301600,17743
1358388000,17786
1358388000,17795
1358474400,17835
1358474400,17843
1358560800,17892
1358560800,17925
1358647200,17938
1358647200,17938
1358733600,17814
1358733600,17854
1358820000,17899
1358906400,17946
1358906400,17992
1358992800,18030
1358992800,18064
1359079200,18093
1359079200,18116
1359165600,18139
1359252000,18182
1359252000,18182
1359338400,18000
1359338400,18035
1359424800,18073
1359424800,18094
1359511200,18131
1359511200,18152
1359597600,18185
1359684000,18234
1359684000,18250
1359770400,18314
1359770400,18360
1359856800,18382
1359943200,18382
1359943200,18193
1360029600,18259
1360029600,18288
1360116000,18347
1360116000,18383
1360202400,18441
1360202400,18472
1360288800,18507
1360375200,18560
1360375200,18569
1360461600,18612
1360461600,18612
1360548000,18426
1360548000,18462
1360634400,18484
1360634400,18528
1360807200,18645
1360807200,18679
1360893600,18709
1360893600,18740
1360980000,18763
1361070000,18803
1361070000,18803
1361156400,18803
1361156400,18676
1361242800,18697
1361242800,18753
1361329200,18814
1361329200,18839
1361415600,18902
1361502000,18985
1361502000,19067
1361588400,19107
1361674800,19161
1361674800,19161
1361761200,18989
1361761200,19017
1361847600,19070
1361847600,19083
1361934000,19143
1362020400,19213
1362020400,19227
