timesTamp,Elance
1351114699,22341
1351164557,22382
1351214603,22451
1351264662,22461
1351327666,22526
1351374053,22546
1351420534,22568
1351466983,22568
1351513485,22212
1351560246,22260
1351606835,22275
1351653504,22340
1351700119,22359
1351747683,22431
1351794461,22474
1351841294,22514
1351888028,22548
1351934865,22574
1351981472,22603
1352028114,22622
1352074702,22622
1352121387,22364
1352168322,22415
1352215066,22430
1352261930,22493
1352308748,22512
1352355335,22566
1352402078,22593
1352448617,22627
1352495234,22663
1352541958,22690
1352593868,22713
1352640790,22736
1352687375,22736
1352734062,22480
1352780793,22534
1352827532,22548
1352874209,22594
1352925035,22620
1352971681,22653
1353018262,22693
1353065072,22721
1353111766,22751
1353158484,22775
1353204950,22815
1353251507,22815
1353297926,22815
1353344651,22583
1353391251,22613
1353438044,22654
1353484626,22677
1353531261,22710
1353578121,22738
1353628747,22779
1353684595,22814
1353731225,22862
1353778132,22878
1353824553,22921
1353870924,22921
1353917542,22702
1353964593,22725
1354011109,22761
1354057656,22810
1354104282,22858
1354150941,22882
1354197733,22930
1354244374,22994
1354291992,22995
1354339360,23040
1354386366,23075
1354433105,23098
1354479719,23098
1354526573,23043
1354587543,23109
1354636046,23125
1354682864,23192
1354729792,23189
1354776416,23222
1354823332,23248
1354870148,23259
1354916841,23291
1354963706,23298
1355010463,23319
1355057375,23333
1355104108,23333
1355150893,23114
1355197678,23178
1355244704,23200
1355291628,23266
1355338532,23316
1355385537,23333
1355432493,23375
1355479810,23428
1355526657,23463
1355590697,23509
1355640617,23565
1355687317,23565
1355734090,23373
1355780835,23398
1355827606,23441
1355874402,23479
1355921342,23525
1355968101,23565
1356015105,23618
1356061854,23672
1356108963,23679
1356155740,23725
1356202712,23752
1356249410,23771
1356295862,23771
1356342654,23622
1356389268,23624
1356435723,23637
1356482227,23659
1356529029,23671
1356591620,23688
1356642333,23712
1356689164,23720
1356735805,23736
1356782728,23752
1356829297,23769
1356875918,23777
1356922372,23777
1356969104,23604
1357015562,23677
1357062066,23688
1357108611,23748
1357155310,23809
1357202322,23846
1357248993,23896
1357295642,23952
1357342934,23990
1357389996,24039
1357438260,24104
1357484908,24104
1357547645,23491
1357863627,23754
1357910827,23794
1357958997,23854
1358005711,23874
1358052179,23929
1358100344,23929
1358148177,23710
1358194714,23744
1358243545,23776
1358291155,23797
1358338704,23826
1358388416,23870
1358435707,23891
1358484454,23964
1358531450,23985
1358579906,24067
1358627178,24106
1358673955,24125
1358722201,24125
1358769019,23939
1358815914,23981
1358862683,24041
1358915304,24122
1358976919,24158
1359024420,24226
1359071285,24262
1359118185,24311
1359165047,24336
1359211788,24371
1359258283,24427
1359304978,24427
1359351662,24172
1359398532,24212
1359456234,24258
1359502997,24297
1359549963,24356
1359596844,24399
1359644165,24454
1359690986,24545
1359737883,24559
1359784722,24679
1359831857,24739
1359896476,24773
1359943881,24773
1359990765,24537
1360037501,24637
1360086362,24662
1360141860,24738
1360188693,24799
1360235751,24865
1360282663,24902
1360329578,24960
1360376401,25053
1360423378,25069
1360470061,25133
1360516926,25133
1360563608,24908
1360610686,24955
1360658249,25000
1360708094,25060
1360829312,25305
1360876783,25373
1360925057,25421
1360973695,25453
1361022106,25502
1361070369,25569
1361118393,25569
1361166471,25569
1361215270,25424
1361263806,25468
1361312501,25536
1361361209,25593
1361410012,25653
1361458530,25734
1361521112,25842
1361580044,25947
1361632768,26007
1361680951,26083
1361729358,26083
1361778084,25893
1361827020,25943
1361876383,26009
1361926782,26060
1361976641,26137
1362026896,26230
1362084795,26250
