timestamp,Guru,lista
1357264800,1750,250;250;250;500;500;1000;1000;2500;5000;5000;5000;10000;25000;25000
1357351200,1000,250;250;250;500;500;1000;1000;1000;2500;5000;5000;5000;5000;10000;25000
1357437600,500,250;250;250;250;250;250;500;500;500;1000;1000;2500;5000;5000;5000;5000;25000
1357437600,500,250;250;250;500;500;1000;5000;25000
1357696800,500,250;250;250;250;250;250;250;500;500;500;500;500;500;1000;1000;1000;1000;2500;2500;10000;25000;25000
1357783200,500,250;250;250;250;250;250;250;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;2500;10000;25000;25000
1357869600,1000,250;250;250;250;500;500;1000;1000;1000;1000;1000;2500;2500;25000;25000
1357869600,1000,250;250;250;250;500;500;500;1000;1000;1000;1000;1000;2500;2500;2500;25000;25000
1358042400,1000,250;250;250;250;500;500;1000;1000;1000;1000;2500;2500;2500;25000
1358128800,1000,250;250;250;250;250;500;500;1000;1000;1000;2500;2500;2500;2500;25000
1358215200,500,250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500
1358301600,500,250;250;250;250;250;500;500;500;1000;1000;1000;1000;2500;2500;25000
1358388000,500,250;250;250;250;250;250;250;500;500;500;1000;1000;1000;1000;2500;2500;5000;25000
1358474400,500,250;250;250;250;250;250;250;250;500;500;500;1000;2500;2500;5000;5000;5000;25000
1358474400,750,250;250;250;250;250;250;250;500;500;1000;1000;2500;2500;2500;5000;5000;5000;5000
1358647200,1000,250;250;250;250;250;500;1000;1000;1000;2500;2500;5000;5000;5000
1358733600,1000,250;250;250;250;1000;1000;1000;2500;5000
1358733600,750,250;250;250;250;250;500;1000;1000;1000;2500;2500;5000
1358906400,500,250;250;250;250;250;500;500;500;500;500;1000;1000;2500
1358992800,500,250;250;500;500;500;500;1000;1000
1359079200,750,250;500;500;500;500;500;1000;1000;1000;1000;1000;2500
1359165600,500,250;250;500;500;500;500;500;500;1000;1000;1000;2500;25000
1359252000,500,250;250;250;250;250;500;500;500;500;500;1000;1000;2500;5000;25000
1359252000,500,250;250;250;500;500;500;500;1000;2500;5000;25000
1359424800,500,250;250;250;250;250;500;500;500;500;500;500;2500;5000;5000;25000
1359511200,500,250;250;250;500;500;500;500;1000;2500;2500;2500;5000;25000
1359597600,1000,250;250;250;500;500;1000;1000;2500;2500;2500;5000;25000
1359684000,500,250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500;2500;25000
1359770400,500,250;250;250;250;250;250;250;500;500;1000;1000;1000;2500;2500;25000;25000
1359856800,500,250;250;250;250;250;250;250;250;250;500;500;500;1000;1000;2500;2500;10000;25000;25000;25000
1359943200,500,250;250;250;250;250;250;250;500;500;500;1000;2500;2500;10000;25000;25000
1360029600,500,250;250;250;250;250;250;250;500;500;500;1000;2500;2500;10000;25000;25000
1360116000,250,250;250;250;250;250;250;250;250;250;500;500;500;500;1000;2500;25000;25000
1360202400,500,250;250;250;250;250;250;500;500;500;1000;1000;1000;10000;25000;25000
1360288800,500,250;250;250;250;250;500;500;1000;1000;1000;10000;25000;25000
1360375200,750,250;500;500;500;500;500;500;1000;1000;2500;10000;25000;25000;25000
1360461600,500,250;250;500;500;500;500;500;2500;5000;10000;10000;25000;25000
1360548000,500,250;250;250;250;500;500;500;500;500;2500;2500;5000;10000;10000;25000;25000
1360634400,1500,250;250;250;500;500;500;500;2500;2500;5000;10000;10000;25000;25000
1360720800,2500,250;250;250;500;1000;1000;2500;2500;2500;5000;5000;10000;10000;10000
1360807200,1000,250;250;250;500;1000;1000;1000;1000;2500;2500;5000;5000;10000;25000
1360893600,1000,250;250;250;500;500;1000;1000;1000;1000;2500;5000;5000;10000;25000
1360980000,750,250;250;500;500;500;1000;1000;5000;5000;25000
1360980000,500,250;250;250;250;500;500;500;500;1000;5000;5000
1361070000,500,250;250;250;500;500;500;1000;2500;5000
1361156400,500,250;250;250;500;500;500;500;500;1000;2500;5000;5000;10000
1361242800,500,250;250;250;250;250;500;500;500;500;1000;2500;2500;5000;10000;25000
1361329200,750,250;250;250;500;500;1000;2500;10000;25000;25000
1361415600,750,250;250;250;250;250;250;250;250;500;1000;1000;2500;2500;2500;5000;10000;25000;25000
1361502000,1000,250;250;250;250;250;1000;1000;1000;2500;2500;5000;5000;10000;25000
1361588400,1000,250;250;250;250;250;250;500;1000;1000;1000;2500;2500;5000;5000;10000;25000
1361674800,1000,250;250;500;1000;1000;1000;2500;5000;5000;5000;25000
1361761200,500,250;250;250;250;500;500;1000;1000;5000;5000;25000
1361847600,750,250;250;500;500;500;1000;5000;5000;25000;25000
1361934000,750,250;250;250;500;500;1000;1000;5000;10000;25000
1362020400,5000,250;500;500;1000;5000;5000;10000;25000;25000
