timestamp,Guru,lista
1357264800,250,250;250;250;250;250;1000;1000;2500
1357351200,250,250;250;250;250;250;250;250;250;250;500;1000;1000;2500
1357437600,250,250;250;250;250;250;250;250;250;500;2500
1357437600,250,250;250;250;250;250;250;250;500;2500
1357696800,250,250;250;250;250;250;250;250;250;250;250;250;250;250
1357783200,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000
1357869600,250,250;250;250;250;250;250;250;250;250;250;500;500;1000
1357869600,250,250;250;250;250;250;250;250;250;250;250;250;500;500;1000;1000
1358042400,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;1000
1358128800,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;1000;2500
1358215200,250,250;250;250;250;250;250;250;250;250;250;250;250;500;500;500;500;1000;2500
1358301600,250,250;250;250;250;250;250;250;250;250;500;500;500;2500
1358388000,250,250;250;250;250;250;250;250;250;500;500;1000
1358474400,250,250;250;250;250;250;250;250;250;250;1000;1000
1358474400,250,250;250;250;250;250;250;250;250;250
1358647200,250,250;250;250;250;250;250;250;250;250
1358733600,250,250;250;250;250;250;250;250;250;250;250
1358733600,250,250;250;250;250;250;250;250;250;250;500;1000
1358906400,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;2500
1358992800,250,250;250;250;250;250;250;250;250;250;250;500;500;500;1000;2500
1359079200,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;500;1000;2500;25000
1359165600,250,250;250;250;250;250;250;250;250;250;250;250;500;1000;2500;25000
1359252000,250,250;250;250;250;250;250;250;250;250;250;250;250;1000;2500;25000
1359252000,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;1000;2500;25000
1359424800,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000;2500
1359511200,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500;500
1359597600,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;500
1359684000,250,250;250;250;250;250;250;250;250;250;500;1000
1359770400,250,250;250;250;250;250;250;250;250;250;500;500;1000;25000
1359856800,250,250;250;250;250;250;250;250;500;500;1000;1000;25000
1359943200,250,250;250;250;250;250;250;250;250;250;500;500;500;1000;25000
1360029600,250,250;250;250;250;250;250;250;250;250;250;500;500;1000;25000
1360116000,250,250;250;250;250;250;250;250;250;250;500;500
1360202400,250,250;250;250;250;250;250;250;250;250;500;500
1360288800,250,250;250;250;250;250;250;250;250;250;250;250
1360375200,250,250;250;250;250;250;250;250;250;250;500
1360461600,250,250;250;250;250;250;250;250;250;250
1360548000,250,250;250;250;250;250;250;250;250;250;250;250;250;250;250
1360634400,250,250;250;250;250;250;250;250;250
1360720800,250,250;250;250;250;250;250;250;250
1360807200,250,250;250;250;250;250;250
1360893600,250,250;250;250;250;250;250;250;250;250;250
1360980000,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500
1360980000,250,250;250;250;250;250;250;250;250;250;250;250;250;250;500
1361070000,250,250;250;250;250;250;250;250;250;250;250;1000
1361156400,250,250;250;250;250;250;250;250;250;250;250;500;1000
1361242800,250,250;250;250;250;250;250;500;1000
1361329200,250,250;250;250;250;250;250;250;250;500;1000;1000
1361415600,250,250;250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000
1361502000,250,250;250;250;250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000;1000;1000;1000;5000
1361588400,375,250;250;250;250;250;250;250;250;250;500;500;1000;1000;1000;1000;1000;1000;5000
1361674800,750,250;250;250;250;250;250;500;1000;1000;1000;1000;1000;1000;5000
1361761200,625,250;250;250;250;1000;1000;1000;5000
1361847600,250,250;250;250
1361934000,250,250;250;250;500
1362020400,250,250;250;250;250;250;250;250;500;2500
