timestamp,Guru,lista
1357264800,0,NULL
1357351200,1375,250;2500
1357437600,250,250;250;250;2500
1357437600,250,250;250;250
1357696800,250,250;250;250
1357783200,250,250;250;250
1357869600,250,250;250
1357869600,375,250;500
1358042400,375,250;500
1358128800,500,500
1358215200,500,250;500;1000
1358301600,625,250;1000
1358388000,250,250
1358474400,0,NULL
1358474400,500,500
1358647200,375,250;500
1358733600,250,250;250;500
1358733600,250,250;250
1358906400,250,250
1358992800,250,250;250
1359079200,250,250;250;250;250
1359165600,250,250;250;250;500
1359252000,250,250;250;500
1359252000,500,500
1359424800,375,250;500
1359511200,0,NULL
1359597600,2750,500;5000
1359684000,1000,500;1000;5000
1359770400,1000,500;1000;5000
1359856800,1000,1000
1359943200,0,NULL
1360029600,2500,2500
1360116000,1500,500;2500
1360202400,1500,500;2500
1360288800,500,500
1360375200,0,NULL
1360461600,0,NULL
1360548000,0,NULL
1360634400,0,NULL
1360720800,250,250
1360807200,375,250;500
1360893600,500,250;500;500
1360980000,500,500;500
1360980000,500,500;500
1361070000,500,500;500
1361156400,375,250;500
1361242800,250,250
1361329200,250,250
1361415600,0,NULL
1361502000,250,250
1361588400,625,250;1000
1361674800,625,250;1000
1361761200,625,250;1000
1361847600,250,250;250
1361934000,250,250;250
1362020400,625,250;1000
