timestamp,Guru
1357257697,73103
1357305173,73103
1357354830,73083
1357454615,73109
1357588956,73109
1357637988,73166
1357739818,73166
1357791252,73190
1357891925,73227
1357993753,73243
1358090627,73243
1358143273,73265
1358244113,73293
1358357301,73293
1358408920,73342
1358508848,73359
1358608298,73359
1358657485,73362
1358771575,73402
1358871616,73402
1358953840,73402
1359011608,73465
1359111266,73497
1359211024,73497
1359260484,73502
1359358090,73545
1359477790,73545
1359527483,73604
1359629373,73612
1359731975,73612
1359783367,73641
1359915007,73641
1359963227,73675
1360062708,73675
1360133083,73742
1360234291,73763
1360335167,73763
1360385422,73786
1360486974,73783
1360614980,73783
1360665087,73817
1360774950,73817
1360831068,73853
1360927872,73886
1361024566,73886
1361072784,73907
1361169460,73941
1361266631,73985
1361366450,74016
1361463515,74016
1361519874,74033
1361626855,74033
1361674966,74069
1361770532,74097
1361866963,74126
1361963979,74164
1362061458,74171
